time/time_elapsed,time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/learning_rate,train/clip_fraction,train/value_loss,train/n_updates,train/std,train/explained_variance,train/entropy_loss,train/approx_kl,train/loss,train/policy_gradient_loss,train/clip_range,eval/mean_reward,eval/mean_ep_length
14603,169984,83,11,21.1,-78.44883332,0.00038656512,0.024635417334502564,259.48386611938474,820,0.31214773654937744,0.3058856725692749,-0.5094160288572311,0.009903658,109.92333984375,-0.0077340294775786415,0.3,,
14814,172032,84,11,19.14,-77.46807466,0.00038640128,0.028854167577810584,230.44208755493165,830,0.3122933804988861,0.4536910057067871,-0.5093711167573929,0.005532757,105.77882385253906,-0.0035066575120435983,0.3,,
15025,174080,85,11,19.04,-64.45253801,0.00038623744,0.046250001090811566,194.61124801635742,840,0.3127024173736572,0.6782410740852356,-0.5114103198051453,0.013991982,87.715087890625,-0.004052517535237721,0.3,,
15237,176128,86,11,17.81,-62.18583496000001,0.00038607360000000006,0.055468751676380636,171.25784149169922,850,0.3128931224346161,0.2591782808303833,-0.5132700800895691,0.020173106,78.95641326904297,-0.004406597498746123,0.3,,
15478,178176,87,11,19.81,-60.823849929999994,0.00038590976000000003,0.025377604877576232,128.66625595092773,860,0.31296151876449585,0.38249433040618896,-0.51413114964962,0.009413129,59.670005798339844,-0.0026829542248742676,0.3,,
,180000,,,,,0.00038574592,0.04929687601979822,164.52979202270507,870,0.3129439651966095,0.3012681007385254,-0.5142615646123886,0.018487703,77.38723754882812,-0.005293828587164162,0.3,-60.20741976555437,16.4
15701,180224,88,11,21.27,-67.51795264999998,,,,,,,,,,,,,
15910,182272,89,11,19.78,-59.87250129000002,0.00038558208000000004,0.0004166666796663776,172.55866317749025,880,0.31293654441833496,0.6478255689144135,-0.5140897542238235,0.0046055084,86.29705810546875,-0.0020877681184538143,0.3,,
16120,184320,90,11,21.59,-70.20317777,0.00038541824,0.03434895941172726,158.78952102661134,890,0.3129490613937378,0.3178161382675171,-0.51415256857872,0.013752866,84.17295837402344,-0.0035603381611872377,0.3,,
16337,186368,91,11,19.7,-58.638176189999996,0.0003852544,0.004283854333334602,160.43188018798827,900,0.31312769651412964,0.6559686660766602,-0.5146001487970352,0.009347605,78.13578033447266,-0.002527181585828675,0.3,,
